,correlation
CUMFNS,0.9995720087123425
IPMANSICS,0.9995453564858962
IPFPNSS,0.9993917809429613
IPFINAL,0.9989802858054417
IPMAT,0.9989429008986593
IPCONGD,0.9982537170053942
DMANEMP,0.9973522293237252
AWHMAN,0.9970636541024283
MANEMP,0.9970480309496796
USGOOD,0.9970342130004444
CMRMTSPLx,0.996908474367998
USCONS,0.9968807570894579
USTRADE,0.9968269750994901
DPCERA3M086SBEA,0.9967926957187365
NDMANEMP,0.9966760110671593
PAYEMS,0.9966648703619588
CES0600000007,0.9966226683837138
CE16OV,0.9966189009012627
USTPU,0.9966153546573453
RETAILx,0.9965740455051826
SRVPRD,0.9965729976264329
IPNCONGD,0.9964972650871403
W875RX1,0.9964810288392458
USWTRADE,0.996386635642219
USFIRE,0.9960637578621594
IPNMAT,0.9960620639645034
CLF16OV,0.9959896983384666
USGOVT,0.995980262476609
AMDMUOx,0.9959251319164787
NONREVSL,0.9958905197628126
BUSINVx,0.9958215107397543
CPIAPPSL,0.9957760939211125
REALLN,0.9957173649020563
CPIULFSL,0.995680182845626
CUSR0000SA0L5,0.9956695158967361
CPIAUCSL,0.9956666974984681
CUSR0000SA0L2,0.99565365791145
PCEPI,0.9956147160881406
DSERRG3M086SBEA,0.9955973069863022
CUSR0000SAS,0.9955760066508815
CPIMEDSL,0.9955024938088755
IPBUSEQ,0.9954366636347132
DDURRG3M086SBEA,0.9953868938066089
CUSR0000SAC,0.9953749369595476
M2SL,0.9953272876566218
CUSR0000SAD,0.9952402041609765
WPSFD49207,0.9952082756091093
DTCTHFNM,0.995202707357371
INVEST,0.9951727276992112
M2REAL,0.9950781507279544
CES0600000008,0.9949916391407368
RPI,0.9949777547705293
WPSID61,0.9949070807488525
WPSFD49502,0.9948612689919623
DNDGRG3M086SBEA,0.9946764295727272
DTCOLNVHFNM,0.994646796728823
IPDMAT,0.994582021202468
CES3000000008,0.9945411490831796
AMDMNOx,0.9942749519394082
CPITRNSL,0.9939512732755473
BUSLOANS,0.9935708556564671
CONSPI,0.99271882222351
CES1021000001,0.9921830624731907
CES2000000008,0.9917580641535982
HWI,0.9898140176025388
BOGMBASE,0.9897658298032699
TWEXAFEGSMTHx,0.9870641783986307
S&P 500,0.9865196586345304
M1SL,0.9840568760274578
IPFUELS,0.9820748789482495
PPICMM,0.9787444333345855
EXJPUSx,0.9773101503750422
IPDCONGD,0.971937971139092
ANDENOx,0.9710658321382811
WPSID62,0.9710141066470909
PERMIT,0.9622521186473947
UEMP15OV,0.9565728766291898
EXCAUSx,-0.9557068516802608
TOTRESNS,0.9490713231033263
CLAIMSx,0.9468718358215198
IPB51222S,0.9435589192781564
UEMP27OV,0.938162951698236
PERMITS,0.9343301179302935
HOUST,0.9317417324453741
EXSZUSx,-0.9308261526772436
UMCSENTx,0.924923091660788
UEMP5TO14,0.9073524835988073
EXUSUKx,-0.9061962144814407
UEMPLT5,0.9004701548388475
UEMP15T26,0.8869043994881353
NONBORRES,0.8802694397769419
UEMPMEAN,0.8742877282450754
HOUSTS,0.8718712330400235
PERMITW,0.8583990531655313
BAA,0.8088141654222092
S&P PE ratio,0.8043306071159907
PERMITMW,0.8022109123640521
HOUSTW,0.7606344320192855
AAA,0.7395289174920754
ISRATIOx,-0.7360540799577219
OILPRICEx,0.7254648054398697
PERMITNE,0.6276740383301883
HOUSTMW,0.6137998417744643
AWOTMAN,0.5077778366451102
VIXCLSx,0.48935590398512924
HOUSTNE,0.4614574524843312
GS10,0.43641915252546826
S&P div yield,-0.3978880045747791
UNRATE,0.39259462794016525
GS5,0.2948214101530708
HWIURATIO,-0.2514230572325574
GS1,0.22528144087756402
CP3Mx,0.22431161591693388
FEDFUNDS,0.21868132143446148
TB6MS,0.18868862318238633
TB6SMFFM,-0.150384552255617
COMPAPFFx,-0.1453624324728678
T1YFFM,-0.13876446433326475
TB3MS,0.13827757030730514
TB3SMFFM,-0.1382729786187004
T5YFFM,-0.12987696147426822
T10YFFM,-0.09225077814091984
BAAFFM,0.030091623327339407
AAAFFM,-0.013872021771900375
